model,file,system,user,assistant,tool,total
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\46102e2e-99c3-4657-bd1e-6156ec3f0237.json,1,1,29,39,70
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\469eab46-0489-4b08-ac73-a81083d1a950.json,1,1,22,27,51
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\47954dac-e106-4a29-b5b1-a396edd371ae.json,1,1,26,29,57
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\47bcdb28-a464-41e7-9026-bba1e4cf3e55.json,1,1,33,39,74
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\49108d41-c95d-40ba-85f1-3e8072600b0d.json,1,1,38,64,104
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\49161cdf-2663-4d6a-9d79-0e04a72c4fd2.json,1,1,75,92,169
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\49d53d3b-c0dd-48db-9a23-6914019c028e.json,1,1,23,25,50
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\49dff309-0938-43c3-81c6-e51574fcefe8.json,1,1,74,91,167
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\49ed1f1a-2cdb-409a-aaac-0698d1a10974.json,1,1,33,39,74
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4a519762-f678-452a-8015-65f9527a6f2f.json,1,1,49,61,112
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4ad9acd9-0401-4497-b11e-30dbe530f8ad.json,1,1,16,16,34
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4ae8168a-fc72-4628-acde-3a0753d36801.json,1,1,48,50,100
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4b2604d6-7a5b-4bdf-9bdf-1e2b2df37df5.json,1,1,29,30,61
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4bb57cb5-e099-49d3-b326-de5cee7722d6.json,1,1,21,21,44
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4c2eccf8-f22d-4784-b6da-c41122d1cc9f.json,1,1,27,30,59
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4c997931-2c18-433c-a228-0976d37f2ec9.json,1,1,30,35,67
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4d671838-e38d-40b1-ac6b-d12355ec0e05.json,1,1,23,25,50
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4d67fb3f-413f-428b-a7d1-119723af0b01.json,1,1,19,19,40
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4dbae3dd-0e75-40ad-8b3f-687c209d5701.json,1,1,33,37,72
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4e95cc2e-dd94-49e5-a615-532a914f0b87.json,1,1,33,33,68
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4f2e3e91-dc48-4b0c-8f95-a50bf6beac77.json,1,1,83,90,175
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4f6bc81b-b7fb-4530-a1b1-a086205f8024.json,1,1,27,28,57
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4fbc1a72-95f6-4f5d-b76a-54b566a694d9.json,1,1,41,53,96
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\50b92780-d11c-41db-b6ca-f34fe4e5b259.json,1,1,23,24,49
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\512b0689-fe77-4736-a2f9-e6808f38f8e8.json,1,1,64,78,144
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\51bb2882-8e62-4865-b7bd-ee7feea2904e.json,1,1,13,18,33
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\52419ce1-1b01-4f19-8107-242528922710.json,1,1,20,21,43
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\53d12423-8754-4bb0-a699-effa6d98ae9e.json,1,1,38,40,80
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\53d8b686-78a2-4200-9538-42f7fa80b9e8.json,1,1,34,36,72
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\54534689-1071-448d-9ce3-4bc045147654.json,1,1,38,52,92
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\54944297-c170-4b33-a529-090069f4c88c.json,1,1,35,47,84
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5572fdeb-acdb-4b7a-838a-45b3f079ab9c.json,1,1,26,28,56
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\55d5366c-d404-4023-bb12-bc0b2bcc793f.json,1,1,27,27,56
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5638f441-b2e2-4c90-bcc5-0c54b0df099a.json,1,1,16,20,38
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\581d43c2-3ab0-4630-afea-a752908de375.json,1,1,31,32,65
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\582af240-a035-442d-a722-a7a051f252d1.json,1,1,26,27,55
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\582c65b8-119f-4392-b41c-2cbddab474e8.json,1,1,26,28,56
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\58c60e39-de6e-4eb3-92ac-8d337c085a07.json,1,1,20,28,50
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\58cdcda7-2a7d-4e17-8d4c-ab659a04a5e9.json,1,1,21,21,44
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\58d4b26d-8479-4ba4-a6f0-2b9188045e2a.json,1,1,25,29,56
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5932d876-a6d8-4e42-99d3-dc204c74553c.json,1,1,21,24,47
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\599b5159-3d74-4d35-aa61-e4fafe29898b.json,1,3,63,90,157
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5a96828b-3b55-4dd4-b35d-5163bd74179d.json,1,1,47,52,101
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5aa1004d-79e3-4f32-8229-3eeb45af8e39.json,1,1,24,28,54
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5c108478-ca52-4edf-aa3c-db2236bf0de9.json,1,1,17,17,36
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5c2aea29-a1e9-44e9-be5f-e4ad6fa80892.json,1,1,109,111,222
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5c594715-0adc-474d-b7d3-9e443226c89c.json,1,1,17,18,37
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5c5bd487-798a-4492-a883-84c6bc204bc0.json,1,1,20,20,42
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5c6b214d-6228-4cc0-aab9-906a4d7f81c9.json,1,1,32,35,69
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5d50e6f4-bdf3-45a6-8da6-d3ca5cab37b2.json,1,1,36,39,77
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5d95b3d1-4f5f-4541-817a-e7d76903e6c2.json,1,1,31,35,68
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5ded8b18-141c-4eb6-bc9b-a88b5cd38afb.json,1,1,22,23,47
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5e5f695f-8181-45a0-b3d3-e5de933ee9f1.json,1,1,42,49,93
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5ec5160f-fc80-4838-ad8a-b1cb3dc1ea83.json,1,1,62,65,129
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5f1529b1-9690-44a2-9587-ef91b8267ace.json,1,1,31,37,70
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\5f2e581a-3d86-47d0-8c53-571dbe60db04.json,1,1,19,19,40
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\604a383a-adac-4d1a-a2ab-37d49fc2b635.json,1,1,44,43,89
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\6057b0d4-72fc-4711-b49b-2585c9bfb900.json,1,1,29,31,62
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\60aea0bd-0d6b-4aa9-a55a-d0cf7032bcac.json,1,1,11,10,23
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\610c06c2-0c73-44d1-86e4-2c897a5a875c.json,1,1,52,61,115
